20241212 082300;6151.25;6151.25;6151.25;6151.25;1
20241212 082400;6151.25;6151.5;6151.25;6151.5;6
20241212 082500;6151.5;6151.5;6151.5;6151.5;1
20241212 082600;6151.5;6151.5;6150.75;6150.75;6
20241212 082800;6150.75;6150.75;6150.75;6150.75;5
20241212 082900;6150.5;6150.75;6150.5;6150.75;4
20241212 083000;6151;6153;6150.5;6152.75;57
20241212 083100;6152.75;6152.75;6151;6151.25;29
20241212 083200;6151;6151;6150.5;6150.5;17
20241212 083300;6150.25;6150.75;6150.25;6150.75;16
20241212 083400;6150.5;6150.75;6150.5;6150.75;5
20241212 083500;6150.5;6150.75;6150.5;6150.75;3
20241212 083600;6150.5;6150.75;6150.25;6150.25;11
20241212 083700;6150.5;6150.5;6150.25;6150.25;13
20241212 083800;6150;6150.25;6149.75;6150.25;11
20241212 083900;6150.25;6150.25;6150.25;6150.25;4
20241212 084000;6150;6150;6149.75;6149.75;12
20241212 084100;6149.75;6149.75;6149.25;6149.5;21
20241212 084200;6149.25;6149.5;6149.25;6149.25;19
20241212 084300;6149.25;6150;6149.25;6150;4
20241212 084400;6149.75;6150;6149.75;6150;8
20241212 084500;6149.75;6150;6149.75;6150;5
20241212 084600;6150;6150;6150;6150;6
20241212 084700;6150;6150;6149.75;6150;15
20241212 084800;6150.25;6150.25;6150.25;6150.25;1
20241212 084900;6150.25;6150.5;6150;6150;22
20241212 085000;6150;6150.5;6150;6150.25;5
20241212 085100;6150.25;6150.25;6150.25;6150.25;8
20241212 085300;6150.5;6150.5;6150.5;6150.5;1
20241212 085400;6150.25;6150.25;6150;6150.25;8
20241212 085500;6150.25;6150.5;6150.25;6150.5;17
20241212 085600;6150.25;6150.25;6150.25;6150.25;4
20241212 085700;6150;6150;6149.75;6150;16
20241212 085800;6150.25;6150.25;6150.25;6150.25;2
20241212 085900;6150.5;6150.5;6150.5;6150.5;6
20241212 090000;6150.25;6150.25;6150;6150;3
20241212 090100;6150.25;6150.75;6150.25;6150.75;5
20241212 090200;6151;6151.5;6151;6151.5;6
20241212 090300;6151.5;6151.5;6151;6151.25;16
20241212 090400;6151.25;6151.25;6150.75;6150.75;42
20241212 090500;6150.5;6151.25;6150.5;6151.25;6
20241212 090600;6151;6151.25;6151;6151.25;9
20241212 090700;6151.25;6151.25;6151;6151;5
20241212 090800;6151.25;6151.25;6150.5;6150.5;11
20241212 090900;6150.75;6150.75;6150.25;6150.5;8
20241212 091000;6150.5;6150.5;6150.25;6150.25;12
20241212 091100;6150.5;6150.5;6150;6150;6
20241212 091200;6149.5;6150.5;6149.5;6150.5;6
20241212 091300;6150.5;6150.5;6150.5;6150.5;9
20241212 091400;6150.5;6150.75;6150.5;6150.75;6
20241212 091500;6150.5;6150.5;6150.5;6150.5;5
20241212 091600;6150;6150;6150;6150;3
20241212 091700;6149.75;6150;6149.75;6150;3
20241212 091800;6150;6150.25;6150;6150.25;11
20241212 091900;6150.5;6150.5;6150.5;6150.5;5
20241212 092000;6150.5;6150.75;6150.5;6150.75;6
20241212 092100;6151;6151;6151;6151;6
20241212 092200;6151.25;6151.25;6151.25;6151.25;1
20241212 092300;6151.25;6151.5;6151.25;6151.5;14
20241212 092400;6151.25;6151.75;6151.25;6151.75;14
20241212 092500;6151.75;6151.75;6151.25;6151.5;26
20241212 092600;6151.25;6151.25;6151;6151;6
20241212 092700;6150.75;6150.75;6150.5;6150.75;9
20241212 092800;6150.75;6150.75;6150.5;6150.5;8
20241212 092900;6150.25;6150.5;6150.25;6150.25;11
20241212 093000;6150.25;6150.25;6150.25;6150.25;6
20241212 093100;6150.25;6150.25;6149.5;6149.5;21
20241212 093200;6149.5;6149.5;6149.5;6149.5;6
20241212 093300;6149.5;6149.5;6149.25;6149.25;10
20241212 093400;6149.75;6149.75;6149.5;6149.75;9
20241212 093500;6149.75;6149.75;6149.75;6149.75;5
20241212 093600;6149.75;6150;6149.75;6150;18
20241212 093700;6149.75;6149.75;6149.5;6149.75;21
20241212 093900;6149.75;6149.75;6149.5;6149.5;15
20241212 094000;6149.5;6149.5;6149.5;6149.5;3
20241212 094100;6150;6150;6149.75;6149.75;13
20241212 094200;6150;6150;6150;6150;2
20241212 094300;6149.75;6149.75;6149.75;6149.75;14
20241212 094400;6149.5;6149.5;6149.25;6149.25;8
20241212 094500;6149.25;6149.5;6149.25;6149.5;25
20241212 094600;6149.5;6149.75;6149.5;6149.75;2
20241212 094700;6149.75;6150;6149.75;6150;5
20241212 094800;6150;6150;6150;6150;10
20241212 094900;6150;6150;6150;6150;6
20241212 095000;6150;6150.25;6150;6150.25;15
20241212 095100;6150;6150;6150;6150;5
20241212 095300;6149.75;6149.75;6149.75;6149.75;5
20241212 095400;6149.75;6150.25;6149.5;6150.25;13
20241212 095500;6150;6150;6149.75;6150;6
20241212 095600;6150;6150;6149.75;6149.75;2
20241212 095700;6149.75;6149.75;6148.75;6149;16
20241212 095800;6148.75;6149.25;6148.75;6148.75;25
20241212 095900;6148.75;6149;6148.75;6149;5
20241212 100000;6149;6149;6149;6149;4
20241212 100100;6149;6149;6148.75;6148.75;13
20241212 100200;6149;6149;6149;6149;1
20241212 100300;6149.25;6149.25;6149.25;6149.25;11
20241212 100400;6149;6149;6149;6149;5
20241212 100500;6149.25;6149.75;6149.25;6149.75;11
20241212 100600;6149.75;6150;6149.75;6149.75;17
20241212 100700;6150;6150;6149.75;6149.75;3
20241212 100800;6149.75;6149.75;6149.75;6149.75;4
20241212 100900;6149.75;6149.75;6149.5;6149.5;8
20241212 101000;6149.5;6149.5;6149.25;6149.25;10
20241212 101100;6149.5;6149.5;6149.25;6149.5;14
20241212 101200;6149.25;6149.25;6149.25;6149.25;3
20241212 101300;6148.75;6148.75;6148.75;6148.75;1
20241212 101400;6149.25;6149.25;6149.25;6149.25;2
20241212 101500;6149.5;6149.5;6149.5;6149.5;5
20241212 101600;6149.75;6149.75;6149.75;6149.75;13
20241212 101700;6149.75;6150;6149.5;6149.5;18
20241212 101800;6149.5;6149.75;6149.5;6149.75;4
20241212 101900;6149.5;6149.5;6149.5;6149.5;7
20241212 102000;6149.25;6149.25;6149.25;6149.25;5
20241212 102100;6149.25;6149.25;6149.25;6149.25;3
20241212 102200;6149.25;6149.5;6149.25;6149.25;6
20241212 102300;6149.25;6149.5;6149.25;6149.25;26
20241212 102400;6149.5;6150;6149.5;6150;18
20241212 102500;6150.25;6150.25;6150.25;6150.25;11
20241212 102600;6150.5;6151;6150.5;6150.75;42
20241212 102700;6151;6151.5;6151;6151.5;14
20241212 102800;6151.25;6151.25;6150.75;6150.75;24
20241212 103000;6151;6151;6151;6151;11
20241212 103100;6151;6151;6150.5;6150.75;19
20241212 103200;6150.75;6150.75;6150.5;6150.5;13
20241212 103300;6150.75;6151;6150.75;6151;18
20241212 103400;6151;6151;6150.75;6151;6
20241212 103500;6151;6151.25;6151;6151.25;7
20241212 103600;6150.75;6150.75;6150.75;6150.75;7
20241212 103700;6150.75;6150.75;6150.75;6150.75;2
20241212 103800;6150.5;6150.75;6150.5;6150.75;11
20241212 103900;6150.75;6150.75;6150.75;6150.75;4
20241212 104000;6150.5;6150.5;6150.5;6150.5;3
20241212 104100;6150.5;6151;6150.5;6151;32
20241212 104200;6151;6151;6150.5;6150.5;14
20241212 104300;6150.75;6150.75;6150.75;6150.75;3
20241212 104400;6151;6151.25;6150.75;6151;29
20241212 104500;6151.25;6151.25;6151.25;6151.25;8
20241212 104700;6151;6151;6150.25;6150.75;42
20241212 104800;6150.75;6150.75;6150.5;6150.5;16
20241212 104900;6150.5;6150.5;6150.25;6150.5;23
20241212 105000;6150.5;6150.5;6150.5;6150.5;1
20241212 105100;6150.5;6150.5;6150.5;6150.5;1
20241212 105200;6150.5;6150.5;6150.5;6150.5;71
20241212 105300;6150.5;6150.5;6150.5;6150.5;8
20241212 105400;6150.5;6150.5;6150.25;6150.25;6
20241212 105500;6150;6150.5;6150;6150.5;19
20241212 105600;6150.25;6150.25;6150.25;6150.25;1
20241212 105700;6150.25;6150.25;6150.25;6150.25;4
20241212 105800;6150.25;6150.25;6150.25;6150.25;5
20241212 105900;6150.25;6150.25;6150.25;6150.25;3
20241212 110000;6150.5;6150.5;6150.5;6150.5;4
20241212 110100;6150.5;6151.5;6150.5;6150.75;91
20241212 110200;6151;6151;6150.75;6150.75;5
20241212 110300;6151.25;6151.25;6151.25;6151.25;5
20241212 110400;6150.75;6150.75;6150.75;6150.75;10
20241212 110500;6150.5;6150.5;6150.5;6150.5;13
20241212 110600;6150.5;6152.25;6150.5;6151.75;108
20241212 110700;6151.75;6152.25;6151;6152.25;91
20241212 110800;6152;6152;6149.5;6150.75;87
20241212 110900;6150.5;6150.5;6149.5;6150.25;66
20241212 111000;6150;6150.25;6150;6150;54
20241212 111100;6150;6150;6149.75;6149.75;35
20241212 111200;6149.75;6149.75;6149.25;6149.5;40
20241212 111300;6149.5;6149.5;6149.25;6149.5;39
20241212 111400;6149.25;6149.25;6148;6148.25;66
20241212 111500;6148;6148;6147.5;6147.75;53
20241212 111600;6147.5;6147.75;6147.25;6147.5;40
20241212 111700;6147.25;6148;6147;6147.75;44
20241212 111800;6147.75;6147.75;6147.75;6147.75;13
20241212 111900;6147.75;6148.75;6147.5;6148.75;19
20241212 112000;6148.75;6148.75;6148.75;6148.75;14
20241212 112100;6149;6149.25;6149;6149.25;30
20241212 112200;6149.25;6149.25;6149;6149;19
20241212 112300;6149;6149;6148.5;6148.5;13
20241212 112400;6148.75;6148.75;6148.5;6148.5;10
20241212 112500;6148.5;6148.5;6148.5;6148.5;6
20241212 112600;6148.25;6148.5;6148.25;6148.5;12
20241212 112700;6148.5;6148.5;6148;6148;17
20241212 112800;6148.25;6148.25;6148.25;6148.25;5
20241212 112900;6148.25;6148.5;6148.25;6148.5;14
20241212 113000;6148.75;6149;6148.5;6148.75;27
20241212 113100;6149;6149.5;6149;6149.25;37
20241212 113200;6149.25;6150;6149.25;6150;9
20241212 113300;6150;6150;6149.75;6150;8
20241212 113400;6150;6150;6149.5;6149.75;22
20241212 113500;6149.75;6150;6149.75;6150;7
20241212 113600;6149.75;6149.75;6149.75;6149.75;27
20241212 113700;6149.75;6149.75;6149.5;6149.5;4
20241212 113800;6149.75;6150;6149.75;6150;5
20241212 114000;6149.5;6149.75;6149.5;6149.75;30
20241212 114100;6149.75;6150.25;6149.75;6150;42
20241212 114200;6150;6150;6150;6150;3
20241212 114300;6150;6150;6150;6150;10
20241212 114400;6150;6150;6150;6150;1
20241212 114500;6149.75;6149.75;6149.5;6149.5;11
20241212 114600;6149.75;6150;6149.75;6150;7
20241212 114700;6149.75;6149.75;6149.75;6149.75;5
20241212 114800;6150;6150;6150;6150;12
20241212 114900;6149.75;6149.75;6149.75;6149.75;4
20241212 115000;6149.75;6150;6149.5;6149.5;13
